TransID,Date,PlantID,ItemType,InQty,OutQty,ReferenceType,ReferenceID
IT00047,22-06-2025,P002,RM,3836,0,Purchase,REF1371
IT00048,07-06-2025,P003,FG,3765,0,Production,REF529
IT00049,21-05-2025,P003,FG,4727,0,Sale,REF1362
IT00050,09-02-2025,P003,FG,2674,0,Sale,REF503
IT00051,22-04-2025,P002,FG,1853,0,Production,REF1043
IT00052,14-04-2025,P001,FG,2462,0,Production,REF219
IT00053,27-02-2025,P001,RM,1212,0,Production,REF314
IT00054,10-05-2025,P002,FG,807,0,Sale,REF819
IT00055,26-03-2025,P002,RM,3434,0,Purchase,REF333
IT00056,22-03-2025,P001,FG,3941,0,Production,REF886
IT00057,02-05-2025,P001,FG,1261,0,Production,REF243
IT00058,05-05-2025,P002,FG,2523,0,Sale,REF439
IT00059,02-03-2025,P002,RM,3320,0,Sale,REF338
IT00060,03-06-2025,P002,FG,2753,0,Purchase,REF207
IT00061,03-01-2025,P001,FG,672,0,Production,REF190
IT00062,01-01-2025,P002,RM,1244,0,Purchase,REF274
IT00063,23-06-2025,P003,FG,2387,0,Sale,REF1172
IT00064,12-02-2025,P002,FG,716,0,Purchase,REF80
IT00065,11-01-2025,P003,RM,4774,0,Purchase,REF349
IT00066,28-01-2025,P002,FG,3201,0,Sale,REF1078
IT00067,05-02-2025,P001,FG,587,0,Sale,REF533
IT00068,25-01-2025,P002,RM,1289,0,Sale,REF582
IT00069,28-03-2025,P003,RM,262,0,Sale,REF969
IT00070,11-05-2025,P002,FG,3706,0,Sale,REF1446
IT00071,02-03-2025,P002,FG,3285,0,Purchase,REF493
IT00072,09-02-2025,P001,RM,3778,0,Purchase,REF1204
IT00073,28-01-2025,P002,RM,964,0,Purchase,REF1481
IT00074,27-03-2025,P003,FG,601,0,Sale,REF490
IT00075,15-04-2025,P001,FG,3945,0,Sale,REF430
IT00076,04-04-2025,P001,FG,3876,0,Purchase,REF707
IT00077,09-01-2025,P002,FG,541,0,Purchase,REF1020
IT00078,24-03-2025,P002,RM,3797,0,Production,REF1449
IT00079,26-05-2025,P003,RM,3459,0,Purchase,REF337
IT00080,24-01-2025,P002,FG,2052,0,Purchase,REF87
IT00081,12-05-2025,P003,FG,1149,0,Production,REF415
IT00082,10-01-2025,P001,FG,1478,0,Sale,REF703
IT00083,01-01-2025,P001,FG,3055,0,Sale,REF414
IT00084,27-03-2025,P003,FG,1729,0,Sale,REF801
IT00085,06-06-2025,P003,RM,4331,0,Production,REF1498
IT00086,01-06-2025,P003,FG,322,0,Sale,REF935
IT00087,27-03-2025,P001,FG,364,0,Sale,REF1285
IT00088,17-04-2025,P002,RM,514,0,Production,REF1211
IT00089,09-03-2025,P002,RM,1825,0,Purchase,REF1369
IT00090,12-04-2025,P002,RM,4747,0,Sale,REF470
IT00091,26-04-2025,P001,FG,332,0,Purchase,REF881
IT00092,12-03-2025,P003,FG,391,0,Purchase,REF1028
IT00093,19-06-2025,P001,FG,2508,0,Sale,REF438
IT00094,15-03-2025,P001,RM,4375,0,Production,REF1149
IT00095,20-05-2025,P003,RM,2691,0,Purchase,REF1404
IT00096,26-03-2025,P003,RM,3518,0,Production,REF43
IT00097,08-03-2025,P001,FG,814,0,Sale,REF527
IT00098,20-04-2025,P001,RM,3404,0,Production,REF200
IT00099,19-05-2025,P003,RM,2365,0,Purchase,REF319
IT00100,03-03-2025,P001,FG,994,0,Purchase,REF233
IT00101,01-02-2025,P003,FG,3696,0,Sale,REF251
IT00102,22-01-2025,P002,RM,3942,0,Production,REF362
IT00103,20-05-2025,P002,RM,3177,0,Sale,REF177
IT00104,07-02-2025,P002,RM,519,0,Sale,REF1413
IT00105,03-05-2025,P003,FG,4381,0,Purchase,REF697
IT00106,27-01-2025,P003,FG,3188,0,Purchase,REF344
IT00107,31-05-2025,P003,RM,1557,0,Sale,REF465
IT00108,28-04-2025,P002,FG,4049,0,Sale,REF756
IT00109,10-01-2025,P002,RM,1631,0,Purchase,REF1170
IT00110,20-06-2025,P002,FG,2911,0,Production,REF16
IT00111,22-01-2025,P001,RM,2581,0,Sale,REF1067
IT00112,01-06-2025,P001,FG,4599,0,Production,REF1134
IT00113,31-01-2025,P003,RM,4518,0,Sale,REF650
IT00114,18-05-2025,P002,FG,2015,0,Purchase,REF219
IT00115,20-06-2025,P001,FG,449,0,Production,REF314
IT00116,16-04-2025,P001,FG,2299,0,Purchase,REF1021
IT00117,15-04-2025,P001,RM,2526,0,Production,REF672
IT00118,05-02-2025,P003,RM,1513,0,Production,REF233
IT00119,27-03-2025,P002,RM,779,0,Purchase,REF1181
IT00120,21-01-2025,P001,RM,1739,0,Production,REF638
IT00121,21-01-2025,P003,FG,4507,0,Sale,REF1348
IT00122,14-04-2025,P001,FG,2437,0,Production,REF191
IT00123,14-01-2025,P001,RM,2730,0,Purchase,REF1205
IT00124,03-05-2025,P001,FG,32,0,Production,REF832
IT00125,09-03-2025,P001,RM,4439,0,Purchase,REF685
IT00126,16-06-2025,P003,RM,1379,0,Sale,REF35
IT00127,02-02-2025,P001,RM,3852,0,Production,REF11
IT00128,28-05-2025,P003,RM,4284,0,Production,REF1122
IT00129,21-04-2025,P001,FG,1948,0,Purchase,REF1081
IT00130,04-02-2025,P002,FG,2397,0,Sale,REF590
IT00131,07-06-2025,P001,FG,2206,0,Production,REF1328
IT00132,01-01-2025,P001,FG,4958,0,Sale,REF392
IT00133,28-05-2025,P001,RM,2072,0,Sale,REF510
IT00134,01-03-2025,P001,RM,1085,0,Sale,REF148
IT00135,25-02-2025,P002,RM,3233,0,Sale,REF6
IT00136,28-06-2025,P001,FG,1721,0,Purchase,REF700
IT00137,06-02-2025,P001,RM,1690,0,Production,REF666
IT00138,18-06-2025,P003,FG,3367,0,Production,REF1359
IT00139,22-02-2025,P002,FG,1651,0,Purchase,REF1364
IT00140,06-05-2025,P002,FG,1988,0,Purchase,REF517
IT00141,29-04-2025,P001,RM,25,0,Purchase,REF940
IT00142,22-02-2025,P002,RM,4294,0,Production,REF289
IT00143,15-02-2025,P002,RM,2321,0,Production,REF1085
IT00144,27-04-2025,P002,FG,534,0,Sale,REF460
IT00145,26-06-2025,P002,FG,3681,0,Production,REF553
IT00146,26-02-2025,P002,RM,1314,0,Purchase,REF481
IT00147,26-02-2025,P003,RM,3980,0,Purchase,REF549
IT00148,07-03-2025,P003,RM,3037,0,Production,REF1349
IT00149,14-04-2025,P001,RM,4231,0,Sale,REF220
IT00150,06-03-2025,P001,RM,1976,0,Sale,REF1018
IT00151,08-02-2025,P001,FG,4328,0,Sale,REF1135
IT00152,29-03-2025,P001,FG,3438,0,Purchase,REF384
IT00153,19-04-2025,P002,FG,888,0,Sale,REF409
IT00154,25-05-2025,P003,FG,3292,0,Purchase,REF779
IT00155,04-03-2025,P002,RM,3865,0,Production,REF731
IT00156,17-05-2025,P002,FG,3861,0,Purchase,REF883
IT00157,26-06-2025,P001,RM,4607,0,Sale,REF281
IT00158,12-01-2025,P001,FG,1894,0,Production,REF1096
IT00159,24-06-2025,P003,FG,594,0,Sale,REF278
IT00160,25-02-2025,P002,RM,1808,0,Purchase,REF526
IT00161,15-04-2025,P001,FG,95,0,Sale,REF1206
IT00162,24-01-2025,P002,RM,3685,0,Sale,REF244
IT00163,03-06-2025,P003,RM,766,0,Purchase,REF975
IT00164,12-02-2025,P003,RM,2269,0,Production,REF444
IT00165,26-01-2025,P001,RM,3373,0,Sale,REF569
IT00166,28-06-2025,P002,FG,0,3498,Production,REF1140
IT00167,25-01-2025,P003,RM,1345,0,Sale,REF564
IT00168,10-02-2025,P001,RM,1577,0,Sale,REF368
IT00169,20-02-2025,P001,FG,1604,0,Production,REF126
IT00170,08-06-2025,P001,RM,3682,0,Purchase,REF1487
IT00171,10-06-2025,P002,FG,1672,0,Purchase,REF1409
IT00172,02-05-2025,P002,RM,518,0,Purchase,REF768
IT00173,14-02-2025,P003,FG,287,0,Purchase,REF174
IT00174,19-01-2025,P001,FG,1290,0,Purchase,REF891
IT00175,10-03-2025,P003,FG,1878,0,Production,REF323
IT00176,19-06-2025,P003,RM,4868,0,Production,REF871
IT00177,13-03-2025,P002,FG,1410,0,Sale,REF439
IT00178,14-04-2025,P002,FG,164,0,Sale,REF953
IT00179,30-01-2025,P003,RM,745,0,Purchase,REF471
IT00180,24-05-2025,P002,FG,4370,0,Sale,REF1190
IT00181,13-05-2025,P001,RM,1107,0,Purchase,REF493
IT00182,05-06-2025,P003,RM,415,0,Purchase,REF1104
IT00183,28-03-2025,P003,RM,4524,0,Production,REF535
IT00184,04-02-2025,P001,RM,2720,0,Production,REF1005
IT00185,26-02-2025,P003,RM,1681,0,Sale,REF303
IT00186,19-04-2025,P003,RM,3623,0,Sale,REF660
IT00187,24-06-2025,P002,FG,3775,0,Purchase,REF68
IT00188,20-06-2025,P003,RM,94,0,Sale,REF63
IT00189,12-02-2025,P003,RM,685,0,Purchase,REF1409
IT00190,26-01-2025,P002,FG,1559,0,Purchase,REF1292
IT00191,08-02-2025,P002,FG,4955,0,Production,REF1377
IT00192,15-06-2025,P002,FG,943,0,Production,REF327
IT00193,07-02-2025,P003,FG,696,0,Production,REF1006
IT00194,08-02-2025,P001,FG,4278,0,Sale,REF1274
IT00195,08-04-2025,P002,RM,347,0,Sale,REF891
IT00196,12-01-2025,P003,RM,3828,0,Purchase,REF1356
IT00197,07-04-2025,P002,FG,2140,0,Purchase,REF741
IT00198,16-05-2025,P001,FG,4226,0,Production,REF1154
IT00199,16-04-2025,P001,FG,1007,0,Sale,REF467
IT00200,19-06-2025,P001,FG,2634,0,Production,REF349
IT00201,11-01-2025,P003,RM,4725,0,Sale,REF963
IT00202,23-02-2025,P001,FG,434,0,Sale,REF1258
IT00203,08-06-2025,P002,RM,4573,0,Sale,REF1304
IT00204,02-02-2025,P001,RM,4307,0,Production,REF97
IT00205,06-03-2025,P003,RM,1002,0,Sale,REF1084
IT00206,10-06-2025,P003,FG,40,0,Sale,REF364
IT00207,08-05-2025,P001,RM,4484,0,Production,REF1471
IT00208,15-06-2025,P001,FG,1537,0,Production,REF497
IT00209,06-02-2025,P003,FG,1268,0,Sale,REF1389
IT00210,14-05-2025,P003,FG,2417,0,Production,REF610
IT00211,04-03-2025,P002,RM,1299,0,Production,REF1480
IT00212,24-02-2025,P001,FG,4328,0,Production,REF169
IT00213,10-04-2025,P002,FG,3784,0,Purchase,REF727
IT00214,11-01-2025,P001,FG,3061,0,Purchase,REF1477
IT00215,20-05-2025,P003,RM,3023,0,Production,REF393
IT00216,01-05-2025,P002,FG,190,0,Production,REF574
IT00217,28-05-2025,P003,RM,2380,0,Purchase,REF1497
IT00218,03-03-2025,P003,RM,892,0,Production,REF680
IT00219,06-06-2025,P003,RM,1099,0,Sale,REF1410
IT00220,16-03-2025,P003,RM,2784,0,Production,REF490
IT00221,23-02-2025,P002,RM,1676,0,Sale,REF528
IT00222,01-02-2025,P002,RM,4809,0,Purchase,REF210
IT00223,03-06-2025,P002,FG,737,0,Sale,REF254
IT00224,05-06-2025,P001,RM,4459,0,Sale,REF188
IT00225,25-02-2025,P001,FG,1621,0,Sale,REF662
IT00226,15-04-2025,P001,RM,1849,0,Purchase,REF1254
IT00227,25-03-2025,P002,RM,4136,0,Production,REF1026
IT00228,15-05-2025,P001,RM,3335,0,Purchase,REF428
IT00229,31-05-2025,P001,FG,217,0,Production,REF230
IT00230,02-06-2025,P003,RM,4503,0,Purchase,REF1410
IT00231,01-05-2025,P003,FG,3090,0,Production,REF1494
IT00232,31-01-2025,P003,FG,2323,0,Purchase,REF1272
IT00233,05-04-2025,P003,FG,1750,0,Purchase,REF119
IT00234,04-06-2025,P001,RM,624,0,Sale,REF1310
IT00235,28-01-2025,P003,FG,4710,0,Purchase,REF474
IT00236,03-05-2025,P002,RM,3252,0,Sale,REF286
IT00237,13-02-2025,P003,RM,3336,0,Purchase,REF1243
IT00238,07-02-2025,P001,RM,4931,0,Production,REF564
IT00239,18-04-2025,P001,RM,2745,0,Production,REF75
IT00240,14-05-2025,P003,FG,2408,0,Sale,REF88
IT00241,28-03-2025,P001,FG,3005,0,Production,REF878
IT00242,13-05-2025,P003,RM,3566,0,Purchase,REF264
IT00243,11-01-2025,P001,RM,3494,0,Sale,REF417
IT00244,12-04-2025,P003,RM,2959,0,Purchase,REF792
IT00245,19-01-2025,P002,RM,1261,0,Purchase,REF360
IT00246,29-03-2025,P002,RM,1790,0,Production,REF1043
IT00247,22-04-2025,P003,RM,4507,0,Production,REF1283
IT00248,24-05-2025,P003,RM,3975,0,Sale,REF432
IT00249,16-03-2025,P003,RM,4296,0,Purchase,REF496
IT00250,02-01-2025,P003,FG,2490,0,Purchase,REF702
IT00251,03-05-2025,P003,RM,2444,0,Production,REF95
IT00252,15-06-2025,P002,RM,1736,0,Purchase,REF210
IT00253,26-06-2025,P003,RM,3035,0,Sale,REF98
IT00254,25-05-2025,P003,RM,4156,0,Production,REF586
IT00255,05-01-2025,P003,FG,4702,0,Production,REF1194
IT00256,03-06-2025,P003,FG,1356,0,Sale,REF1173
IT00257,22-05-2025,P003,FG,3079,0,Purchase,REF1070
IT00258,18-05-2025,P002,FG,2421,0,Sale,REF1165
IT00259,26-03-2025,P003,RM,2033,0,Production,REF44
IT00260,26-05-2025,P003,RM,4099,0,Purchase,REF390
IT00261,27-02-2025,P002,RM,887,0,Production,REF828
IT00262,15-01-2025,P002,RM,4619,0,Sale,REF969
IT00263,13-06-2025,P001,FG,1269,0,Production,REF63
IT00264,25-02-2025,P002,RM,3620,0,Sale,REF1243
IT00265,21-06-2025,P003,FG,1805,0,Sale,REF500
IT00266,18-06-2025,P003,RM,4261,0,Production,REF7
IT00267,19-06-2025,P001,RM,2823,0,Sale,REF1160
IT00268,29-03-2025,P001,RM,4997,0,Production,REF1210
IT00269,23-06-2025,P001,FG,2938,0,Sale,REF545
IT00270,08-04-2025,P003,FG,765,0,Production,REF834
IT00271,04-01-2025,P003,FG,596,0,Production,REF202
IT00272,16-05-2025,P002,FG,1193,0,Purchase,REF516
IT00273,13-04-2025,P003,RM,1573,0,Purchase,REF1204
IT00274,11-03-2025,P003,RM,2545,0,Purchase,REF337
IT00275,01-01-2025,P001,FG,3919,0,Sale,REF801
IT00276,15-01-2025,P001,FG,3189,0,Sale,REF414
IT00277,21-06-2025,P001,FG,614,0,Purchase,REF99
IT00278,16-05-2025,P001,FG,542,0,Purchase,REF601
IT00279,24-03-2025,P001,FG,4968,0,Production,REF363
IT00280,30-05-2025,P002,FG,4274,0,Sale,REF295
IT00281,26-02-2025,P003,FG,412,0,Production,REF35
IT00282,24-04-2025,P003,FG,4057,0,Production,REF333
IT00283,05-02-2025,P003,FG,476,0,Production,REF1376
IT00284,05-02-2025,P002,RM,1065,0,Sale,REF189
IT00285,09-04-2025,P001,RM,4031,0,Sale,REF1433
IT00286,09-03-2025,P001,FG,4929,0,Sale,REF1382
IT00287,18-01-2025,P001,RM,4370,0,Purchase,REF930
IT00288,03-02-2025,P002,FG,1901,0,Sale,REF351
IT00289,13-04-2025,P001,FG,1659,0,Sale,REF163
IT00290,22-02-2025,P001,RM,3803,0,Purchase,REF1235
IT00291,08-04-2025,P001,RM,1338,0,Production,REF488
IT00292,03-02-2025,P002,FG,4204,0,Sale,REF1175
IT00293,01-02-2025,P001,RM,2825,0,Production,REF153
IT00294,20-03-2025,P002,RM,4466,0,Sale,REF346
IT00295,13-01-2025,P001,FG,4741,0,Production,REF1046
IT00296,21-04-2025,P002,FG,352,0,Purchase,REF485
IT00297,24-06-2025,P002,RM,3700,0,Production,REF964
IT00298,06-02-2025,P002,FG,4376,0,Sale,REF1052
IT00299,20-01-2025,P001,RM,1395,0,Sale,REF189
IT00300,18-05-2025,P001,RM,4026,0,Sale,REF397
IT00301,18-04-2025,P001,FG,2138,0,Sale,REF1007
IT00302,01-03-2025,P002,RM,4968,0,Sale,REF498
IT00303,15-02-2025,P003,FG,941,0,Production,REF60
IT00304,27-05-2025,P002,RM,2772,0,Production,REF1440
IT00305,12-06-2025,P002,FG,4821,0,Sale,REF244
IT00306,29-06-2025,P001,FG,3715,0,Production,REF484
IT00307,07-02-2025,P001,FG,3318,0,Purchase,REF771
IT00308,22-01-2025,P003,RM,4428,0,Purchase,REF459
IT00309,22-06-2025,P001,RM,2861,0,Production,REF1391
IT00310,27-03-2025,P003,FG,2998,0,Purchase,REF1407
IT00311,26-05-2025,P001,RM,2170,0,Sale,REF1334
IT00312,27-05-2025,P001,FG,1427,0,Sale,REF815
IT00313,11-01-2025,P003,FG,3741,0,Purchase,REF881
IT00314,15-03-2025,P003,RM,4988,0,Purchase,REF260
IT00315,09-01-2025,P003,RM,309,0,Sale,REF1111
IT00316,27-06-2025,P002,FG,3548,0,Sale,REF267
IT00317,28-03-2025,P003,RM,2442,0,Sale,REF173
IT00318,26-04-2025,P003,FG,2322,0,Purchase,REF1424
IT00319,02-04-2025,P001,RM,3615,0,Sale,REF823
IT00320,03-05-2025,P001,RM,3666,0,Purchase,REF1261
IT00321,08-04-2025,P001,RM,3702,0,Sale,REF1286
IT00322,06-06-2025,P003,FG,3779,0,Production,REF1110
IT00323,22-04-2025,P003,FG,1228,0,Sale,REF316
IT00324,13-05-2025,P003,RM,1060,0,Production,REF79
IT00325,24-06-2025,P003,RM,4359,0,Production,REF1318
IT00326,05-04-2025,P001,FG,1525,0,Purchase,REF1359
IT00327,08-04-2025,P003,FG,2952,0,Sale,REF936
IT00328,08-01-2025,P003,RM,4662,0,Purchase,REF573
IT00329,29-03-2025,P002,FG,4438,0,Production,REF374
IT00330,28-04-2025,P003,FG,4289,0,Purchase,REF288
IT00331,17-02-2025,P003,RM,2891,0,Sale,REF273
IT00332,10-03-2025,P002,RM,4363,0,Purchase,REF1119
IT00333,29-03-2025,P002,RM,4690,0,Production,REF164
IT00334,17-05-2025,P002,FG,2685,0,Purchase,REF704
IT00335,28-05-2025,P001,FG,3187,0,Sale,REF454
IT00336,16-05-2025,P003,FG,1820,0,Purchase,REF458
IT00337,24-05-2025,P003,FG,4132,0,Production,REF750
IT00338,13-05-2025,P002,FG,210,0,Sale,REF665
IT00339,24-03-2025,P002,FG,128,0,Production,REF460
IT00340,20-03-2025,P003,RM,62,0,Sale,REF1050
IT00341,29-01-2025,P002,FG,4726,0,Purchase,REF97
IT00342,27-03-2025,P003,RM,1631,0,Production,REF78
IT00343,23-02-2025,P002,FG,704,0,Purchase,REF667
IT00344,28-01-2025,P002,FG,2405,0,Purchase,REF220
IT00345,04-04-2025,P003,RM,1774,0,Production,REF975
IT00346,02-03-2025,P002,FG,4296,0,Production,REF94
IT00347,08-02-2025,P003,RM,131,0,Production,REF179
IT00348,15-02-2025,P002,FG,288,0,Sale,REF1084
IT00349,15-05-2025,P002,RM,999,0,Sale,REF270
IT00350,11-03-2025,P002,RM,3915,0,Purchase,REF1054
IT00351,31-03-2025,P002,RM,4315,0,Purchase,REF678
IT00352,17-04-2025,P001,FG,4566,0,Sale,REF1038
IT00353,18-05-2025,P002,FG,3403,0,Production,REF344
IT00354,28-03-2025,P003,FG,1132,0,Sale,REF1371
IT00355,11-06-2025,P002,FG,2290,0,Production,REF650
IT00356,09-05-2025,P001,FG,2359,0,Sale,REF244
IT00357,27-03-2025,P001,RM,679,0,Purchase,REF81
IT00358,20-03-2025,P002,RM,351,0,Sale,REF1326
IT00359,02-03-2025,P001,RM,1901,0,Production,REF650
IT00360,02-01-2025,P002,FG,567,0,Production,REF70
IT00361,12-06-2025,P003,FG,4274,0,Sale,REF374
IT00362,19-03-2025,P002,FG,822,0,Production,REF1202
IT00363,08-05-2025,P003,RM,4019,0,Production,REF920
IT00364,14-06-2025,P002,RM,3613,0,Sale,REF14
IT00365,12-05-2025,P003,RM,1062,0,Production,REF590
IT00366,15-05-2025,P001,RM,1713,0,Sale,REF1113
IT00367,18-02-2025,P001,RM,867,0,Purchase,REF1243
IT00368,10-06-2025,P002,RM,1173,0,Purchase,REF773
IT00369,14-05-2025,P001,FG,66,0,Production,REF1003
IT00370,22-05-2025,P002,FG,1311,0,Purchase,REF1091
IT00371,14-04-2025,P003,RM,1352,0,Sale,REF934
IT00372,31-03-2025,P002,FG,1449,0,Production,REF534
IT00373,10-06-2025,P002,FG,2975,0,Purchase,REF777
IT00374,09-01-2025,P002,RM,1267,0,Sale,REF185
IT00375,08-04-2025,P003,RM,4185,0,Sale,REF210
IT00376,21-05-2025,P001,FG,3215,0,Purchase,REF1322
IT00377,17-01-2025,P002,RM,3840,0,Purchase,REF908
IT00378,17-06-2025,P003,RM,1779,0,Purchase,REF668
IT00379,09-02-2025,P003,RM,1489,0,Sale,REF844
IT00380,20-04-2025,P002,RM,1402,0,Sale,REF621
IT00381,21-05-2025,P001,RM,1935,0,Purchase,REF666
IT00382,28-05-2025,P003,RM,2979,0,Production,REF1139
IT00383,17-04-2025,P001,FG,2523,0,Sale,REF1321
IT00384,26-02-2025,P001,FG,3793,0,Production,REF507
IT00385,27-03-2025,P002,FG,160,0,Sale,REF1021
IT00386,25-04-2025,P003,FG,954,0,Purchase,REF383
IT00387,23-04-2025,P001,RM,4677,0,Purchase,REF679
IT00388,30-04-2025,P003,FG,2019,0,Sale,REF231
IT00389,25-03-2025,P001,RM,1755,0,Purchase,REF306
IT00390,04-02-2025,P002,FG,230,0,Sale,REF1488
IT00391,18-02-2025,P001,RM,444,0,Purchase,REF544
IT00392,05-06-2025,P003,FG,4540,0,Sale,REF1032
IT00393,23-04-2025,P002,RM,4144,0,Sale,REF1479
IT00394,02-04-2025,P001,RM,3049,0,Sale,REF1096
IT00395,11-01-2025,P001,RM,3230,0,Production,REF619
IT00396,15-06-2025,P001,FG,1935,0,Purchase,REF943
IT00397,11-02-2025,P001,RM,544,0,Purchase,REF306
IT00398,31-05-2025,P003,FG,4728,0,Sale,REF50
IT00399,20-02-2025,P002,FG,757,0,Sale,REF1048
IT00400,06-06-2025,P001,RM,1579,0,Sale,REF852
IT00401,23-02-2025,P003,FG,3851,0,Purchase,REF1247
IT00402,12-04-2025,P001,RM,943,0,Sale,REF311
IT00403,10-02-2025,P001,FG,946,0,Production,REF956
IT00404,30-01-2025,P003,RM,1143,0,Purchase,REF231
IT00405,27-01-2025,P001,RM,3134,0,Purchase,REF248
IT00406,04-02-2025,P003,FG,261,0,Sale,REF1084
IT00407,20-02-2025,P003,RM,3585,0,Purchase,REF602
IT00408,21-04-2025,P002,FG,4684,0,Purchase,REF1099
IT00409,27-04-2025,P003,FG,109,0,Sale,REF213
IT00410,15-02-2025,P001,RM,1225,0,Production,REF47
IT00411,10-06-2025,P003,RM,4574,0,Production,REF18
IT00412,04-02-2025,P001,FG,4722,0,Production,REF264
IT00413,19-02-2025,P003,FG,140,0,Production,REF1478
IT00414,17-06-2025,P001,RM,3117,0,Sale,REF1366
IT00415,30-03-2025,P001,FG,4660,0,Purchase,REF200
IT00416,31-01-2025,P001,FG,1874,0,Purchase,REF869
IT00417,25-03-2025,P003,FG,2941,0,Production,REF629
IT00418,07-01-2025,P002,RM,1067,0,Sale,REF320
IT00419,04-05-2025,P001,FG,210,0,Purchase,REF742
IT00420,01-03-2025,P003,FG,1326,0,Production,REF124
IT00421,08-06-2025,P001,FG,1362,0,Sale,REF1478
IT00422,20-04-2025,P003,RM,699,0,Production,REF468
IT00423,14-03-2025,P003,RM,1064,0,Production,REF655
IT00424,25-06-2025,P003,RM,2138,0,Purchase,REF1437
IT00425,05-03-2025,P001,RM,2338,0,Purchase,REF1262
IT00426,08-05-2025,P003,FG,2975,0,Production,REF867
IT00427,05-04-2025,P002,FG,2525,0,Production,REF584
IT00428,05-03-2025,P002,FG,3482,0,Purchase,REF281
IT00429,22-04-2025,P001,RM,2057,0,Purchase,REF1137
IT00430,12-05-2025,P001,RM,486,0,Purchase,REF55
IT00431,28-02-2025,P001,FG,3379,0,Production,REF566
IT00432,11-02-2025,P002,RM,737,0,Sale,REF27
IT00433,21-06-2025,P002,FG,4234,0,Purchase,REF304
IT00434,28-01-2025,P002,RM,4855,0,Production,REF173
IT00435,11-01-2025,P002,FG,1601,0,Purchase,REF505
IT00436,28-02-2025,P002,RM,441,0,Purchase,REF590
IT00437,12-03-2025,P002,FG,2958,0,Purchase,REF821
IT00438,20-02-2025,P001,RM,1433,0,Sale,REF892
IT00439,17-05-2025,P003,FG,1488,0,Production,REF873
IT00440,06-03-2025,P002,RM,3518,0,Purchase,REF247
IT00441,27-03-2025,P001,RM,4597,0,Sale,REF825
IT00442,07-03-2025,P002,FG,1282,0,Production,REF305
IT00443,30-05-2025,P001,RM,646,0,Purchase,REF1433
IT00444,09-01-2025,P001,FG,3891,0,Production,REF850
IT00445,21-03-2025,P002,RM,3486,0,Purchase,REF239
IT00446,31-05-2025,P002,FG,414,0,Purchase,REF517
IT00447,17-06-2025,P002,RM,305,0,Sale,REF1131
